"A Loss For Words","Save Your Breath","The Fighting Cocks","A Loss For Words are coming to town! <br>Rise Record's Massachusetts pop punks hit The Fighting Cocks, just before they play the UK leg of the Warped Tour, for a 14+ matinee show! <br>Support comes from Newport's finest Save Your Breath, who've played some great shows for us. The brill Decade who were last in town on the Slam Dunk Tour and new UK punks Light You Up <br>Tickets £10 <br>Doors at 1pm - show finishes at 5pm 14+ "
"A Loss For Words","Decade","The Fighting Cocks","A Loss For Words are coming to town! <br>Rise Record's Massachusetts pop punks hit The Fighting Cocks, just before they play the UK leg of the Warped Tour, for a 14+ matinee show! <br>Support comes from Newport's finest Save Your Breath, who've played some great shows for us. The brill Decade who were last in town on the Slam Dunk Tour and new UK punks Light You Up <br>Tickets £10 <br>Doors at 1pm - show finishes at 5pm 14+ "
"A Loss For Words","Light You Up","The Fighting Cocks","A Loss For Words are coming to town! <br>Rise Record's Massachusetts pop punks hit The Fighting Cocks, just before they play the UK leg of the Warped Tour, for a 14+ matinee show! <br>Support comes from Newport's finest Save Your Breath, who've played some great shows for us. The brill Decade who were last in town on the Slam Dunk Tour and new UK punks Light You Up <br>Tickets £10 <br>Doors at 1pm - show finishes at 5pm 14+ "
"The Black Keys","Royal Headache","Sydney Entertainment Centre","Love Police welcome... <br>THE BLACK KEYS <br>THE BLACK KEYS are the hottest rock and roll act on the planet right now!  <br>After selling out arenas all through the USA, Canada, UK and Europe and headlining Coachella and Lollapalooza and many other festivals they are very pleased to announce their long awaited return to Australia this October. <br>Their latest (and seventh) album ‘El Camino' is selling truckloads everywhere and its infectious opening track ‘Lonely Boy' is a certified global smash hit single and they'll be bringing all these tracks and more to Australian audiences with their electrifying new live show. <br>The show features huge visuals from 20 projectors, giant mirror balls, and all the hits from their deep and consistently awesome back catalogue. <br>The transformation of THE BLACK KEYS from a 2 piece garage band playing small clubs to being worthy headliners of arenas and festivals could not be more just or complete and proves that the pure combination of good times, great music and grit can still turn to gold. <br>Rest assured, you haven't see a show like this before. <br>THE BLACK KEYS have a deep love affair with Australia. They toured here first in 2003 just in time for the release of their second album, \"\"Thickfreakness\"\". Since then they have toured here 5 more times, played every major city and many regional towns multiple times, as well as Bluesfest, The Falls, Groovin' The Moo, Pyramid Rock and West Coast Blues & Roots festivals. They are loved from Darwin to Tassie, from Byron Bay to Geelong. Every true music fan has a Black Keys story to tell, and this October tour will be another big, big chapter. <br>Joining the band on all shows will be Sydney's outstanding ROYAL HEADACHE. These zeitgeist-straddling purveyors of DIY garage soul are the most exciting musical thing happening in our country right now. Their debut self titled album of last year was highly loved and rated by all from the 'burbs to the inner city hipsters. Get there early to experience and believe their power. "
"Arch Enemy","Voivod","La Riviera","- World Khaos Tour 2012 - <br>ARCH ENEMY <br>+ VOIVOD <br>+ TITANS EVE <br>Sala La Riviera (Madrid) <br>Precio: 26€ (Taquilla 30€) <br>Venta de Entradas: Sun Records, Fnac, Carrefour, puntos de la red Ticketmaster.es y en el teléfono 902 150 025 "
"Arch Enemy","Titans Eve","La Riviera","- World Khaos Tour 2012 - <br>ARCH ENEMY <br>+ VOIVOD <br>+ TITANS EVE <br>Sala La Riviera (Madrid) <br>Precio: 26€ (Taquilla 30€) <br>Venta de Entradas: Sun Records, Fnac, Carrefour, puntos de la red Ticketmaster.es y en el teléfono 902 150 025 "
"Little Big Show","First Aid Kit","The Neptune Theatre","KEXP, STG and Starbucks join our Seattle-loving hearts to bring you Little Big Show, a concert series created to benefit our city’s arts organizations. <br>Four times a year, we find a great band or two, give ‘em the stage at The Neptune and donate 100% of ticket sales to a local non-profit. It’s the little show with a big effect. <br>Previous shows, featuring performances by Pickwick, Real Estate and Dum Dum Girls raised over $28,000 for Arts Corps, Coyote Central and NFFTY. Let’s round out the year for our new beneficiary, 826 Seattle – a writing and tutoring center. <br>To learn more about 826 Seattle and the difference you will be making by attending this show, please visit <a href=\"\"http://826seattle.org/\"\" rel=\"\"nofollow\"\"> http://826seattle.org/</a>. <br>Tickets on sale Friday, August 24th at 10am! <br>First Aid Kit: <br>Bittersweet is the word the Söderberg sisters prefer. “We like bittersweet songs, songs that affect you differently depending on how you interpret them,” says Klara, the younger of the Swedish siblings that make up First Aid Kit. “Making the melodies and lyrics head in different directions is very deliberate,” adds big sister Johanna. “A song like ‘Emmylou’ sounds cheerful, but the lyrics are the saddest thing you ever heard.” First Aid Kit’s first US-recorded album, The Lion’s Roar, juxtaposes sadness and beauty in the best traditions of folk and country music. They even cite the Louvin Brothers’ cheerfully brutal version of the old murder ballad “Knoxville Girl” as the perfect example of the sweet and sour they adore. And this new carefully constructed collection deftly succeeds in setting references to their hometown of Stockholm and long, dark Scandinavian winters against a backdrop of country-rock swing. Initially signed in 2008 by The Knife-owned label Rabid Records (they are now signed to Wichita), First Aid Kit have gone from faraway teenage fans covering Fleet Foxes for fun to recording a Blue Series 7-Inch single of Buffy Sainte-Marie’s “Universal Soldier” with Jack White at his request in his Nashville, TN Third Man Studios. “I think of it now as like a dream, too good to be true,” says Johanna of the session, happily and hurriedly squeezed into last autumn’s tour schedule. Where 2010’s debut The Big Black and the Blue was starkly intimate, The Lion’s Roar, recorded in Omaha by Mike Mogis (Bright Eyes, millions more), is a full band record. The girls’ father Benkt takes the bass, Mattias Bergqvist drums, while Mogis and Nate Walcott of Bright Eyes, and a cast of Omaha-based musicians round out the sound. From the dynamic title track onwards, the album is a rich and stirring affair that expands upon the keen and sophisticated country-tinged pop of their debut. “Emmylou” name-checks such greats as Gram Parsons, Johnny Cash, June Carter, and of course Ms. Harris, yet for all its upbeat appeal, it recognizes the sadness in the lives and art of these heroes. “We’ve listened to those people for a very long time. We hadn’t even toured America when we started writing that song,” confesses Johanna. “We actually finished it in Australia,” adds Klara. The gorgeous, timeless “In The Hearts Of Men” adds mellotron alongside more expected textures. “My duality awakes,” sings Klara in the lush, knowing “I Found a Way”. The exquisite “Dance to Another Tune” perfectly conjures a haunting sense of unease, while the lovely, steady cadence of “This Old Routine” tells a plaintive, yet redemptive, tale of loves lost and re-found. “To A Poet” opens side two, so to speak, and its elegant coda, featuring a string quartet arranged by Walcott, particularly impressed the Söderbergs. “We recorded our last record at home. We couldn’t even have fit them all in,” says Klara. Despite its lonesome sound, “New Year’s Eve” – all distant reverb and atmospherics – is “actually very hopeful”. Finally the exuberant hoedown of ‘King of the World’ features The Felice Brothers, just passing through town during the session, and local hero Conor Oberst, who sings the last verse. “We’d never worked with a producer before,” says Johanna. “Yet we never disagreed with Mike about anything.” The resulting record is serious fun, yet First Aid Kit are only starting. “We want to work in music forever. Our voices and songs could work in many genres,” says Johanna, “We don’t know how we’ll sound in ten years time.” But which do they prefer singing, sad or happy songs? They roar with laughter. “We only sing sad songs.” There will never be a shortage of those, and in First Aid Kit’s hands, they will always sound nothing short of glorious. "
"White Hills","Spectral Haze","Revolver","<a href=\"\"http://www.last.fm/out?url=http%3A%2F%2Fwhitehillsmusic.blogspot.com%2F\"\" rel=\"\"nofollow\"\">White Hills</a> <br><a href=\"\"https://www.facebook.com/SpectralHaze\"\" rel=\"\"nofollow\"\">Spectral Haze</a> <br>100 Kr "
"oOoOO","Moon & Sun","Muziekgebouw aan ‘t IJ","De Amerikaanse producer Chris Dexter Greenspan is onder zijn pseudoniem oOoOO (spreek uit: ‘oh’) één van de bekendste en meest besproken muzikanten binnen het jonge genre witch house/chill wave. Dit genre - een hit onder vooraanstaande Amerikaanse bloggers - is een intrigerende mix van hiphop, r&b, house en top 40-pop. Muziek waarin de geest van de jaren 80 een benevelde dronkenmansdans uitvoert. <br>In het voorprogramma de dromerige pop en Caribische percussie van de Amsterdamse band Moon & Sun. "
"The Rapture","Breakbot","Circo Voador","Os ingressos pra assistir ao The Rapture e Breakbot já estão a venda na ingresso.com. Já, já estarão disponíveis na Wöllner RJ também. <br>Confirme sua presença na página do evento: <br><a href=\"\"https://www.facebook.com/events/255520494501180/\"\" rel=\"\"nofollow\"\">https://www.facebook.com/events/255520494501180/</a> "
"The Dark Legacy Tour","Lacuna Coil","Koko","LACUNA COIL are bringing their Dark Legacy tour to the UK later this year which will be the band’s only headlining run in the UK for 2012. The shows will feature a set of more than two hours. Frontwoman Cristina Scabbia commented: “The Dark Legacy tour is a dream come true! This tour will present the history of Lacuna Coil, melding old fans with a new generation of Coilers. The Dark Legacy set will offer both the electric and acoustic vibe and absolute melodic epicness!”  <br>Frontman Andrea Ferro added, “We wanted to give our fans a special present for Lacuna Coil’s fifteenth anniversary and that was the inspiration for the Dark Legacy tour. The Dark Legacy show will be very special, with a lot of our history in a surprise-filled set. You won’t want to miss it!” "
"Summer Camp","Fixers","Scala","Set times (from Scala): <br>Fixers - 8:30 <br>Summer Camp - 9:30 <br>-------------------- <br>After selling out Efes, Summer Camp return to London's Scala for their biggest headline show to date. <br>One of the most enduring qualities of music lies in its ability to be transportative - the very best songs can take you, almost instantly, to a specific moment in time, or perhaps a particular location, even evoke a specific emotion. It is an immutable relationship we have with the music we listen to, and it is one which the London duo of Elizabeth Sankey and Jeremy Warmsley, aka Summer Camp realise so perfectly, crafting twinkling, pristine pop gems which sound as though they could have been discovered in a trunk in an attic, glinting and glittering like jewels at the bottom of the sea. "
"Trivium","As I Lay Dying","Shepherds Bush Empire","TRIVIUM‘s latest album, “In Waves”, sold 22,000 copies in the United States in its first week of release to land at position No. 13 on The Billboard 200 chart — the highest U.S. chart entry of the band’s career. The group’s previous CD, “Shogun”, opened with just under 24,000 units back in October 2008 to debut at No. 23. The effort followed up “The Crusade”, which registered a first-week tally of 31,000 copies in October 2006 to enter the chart at No. 25. <br>“In Waves” was recorded primarily at Paint It Black Studios in Orlando, Florida (with only the drums having been tracked at Audiohammer Studios in Sanford, Florida) with the production/mixing team of Colin Richardson (MACHINE HEAD, BULLET FOR MY VALENTINE, SLIPKNOT, FEAR FACTORY) and Martin “Ginge” Ford, along with engineer Carl Bown. A two-disc special edition is also available. It features five bonus tracks, plus a DVD with a 40-minute, behind-the-scenes documentary, as well as an exclusive concert filmed in a warehouse located in Orlando, Florida, which is the band’s stomping grounds. This concert features the first performances of tracks from “In Waves”, along with TRIVIUM classics. <br>AS I LAY DYING entered the studio last month to begin recording its new CD for a late 2012 release via Metal Blade Records. The CD is being helmed by Bill Stevenson, who has played drums for both the DESCENDENTS and BLACK FLAG and is one of the most highly renowned producers in rock. His production credits include work on records by RISE AGAINST, NOFX, PROPAGANDHI, THE CASUALTIES, ANTI-FLAG and many more. <br>Source: <a href=\"\"http://metalshockfinland.wordpress.com/\"\" rel=\"\"nofollow\"\"> http://metalshockfinland.wordpress.com/</a> "
"Extreme Noise Terror","bandanos","Inferno Club","Ataque Frontal & Santa Madre apresentam <br>Extreme Noise Terror (UK) <br>Bandanos + Oitão <br>Dia 25 de Janeiro de 2012 Quarta-feira (Feriado) <br>Serviço do show: <br>Preços: <br>1º Lote: R$50,00  2º Lote: R$ 60,00 <br>Na porta: R$80,00  Meia-Entrada: R$40,00* <br>Ingressos à venda nas lojas: <br>Santa Madre - Rua 24 de Maio, 62 - 3º andar Loja 472 - Fone:3337.2979 <br>Possessed - Rua 24 de Maio, 62 - 2º andar Loja 343 - Fone: 3333.4683 <br>Loja 255 - Rua 24 de Maio, 62 - 1º andar Loja 255 - Fone: 3361.6951 <br>* Meia-entrada apenas Santa Madre <br>Vendas online e parcelada pela internet: <a href=\"\"http://www.ticketbrasil.com.br\"\" rel=\"\"nofollow\"\">www.ticketbrasil.com.br</a> <br>sujeito a taxa de conveniência "
"Extreme Noise Terror","Oitão","Inferno Club","Ataque Frontal & Santa Madre apresentam <br>Extreme Noise Terror (UK) <br>Bandanos + Oitão <br>Dia 25 de Janeiro de 2012 Quarta-feira (Feriado) <br>Serviço do show: <br>Preços: <br>1º Lote: R$50,00  2º Lote: R$ 60,00 <br>Na porta: R$80,00  Meia-Entrada: R$40,00* <br>Ingressos à venda nas lojas: <br>Santa Madre - Rua 24 de Maio, 62 - 3º andar Loja 472 - Fone:3337.2979 <br>Possessed - Rua 24 de Maio, 62 - 2º andar Loja 343 - Fone: 3333.4683 <br>Loja 255 - Rua 24 de Maio, 62 - 1º andar Loja 255 - Fone: 3361.6951 <br>* Meia-entrada apenas Santa Madre <br>Vendas online e parcelada pela internet: <a href=\"\"http://www.ticketbrasil.com.br\"\" rel=\"\"nofollow\"\">www.ticketbrasil.com.br</a> <br>sujeito a taxa de conveniência "
"RONIN FEST","Bob Corn","Locomotiv Club","RONIN FEST with <br>RONIN + THREE IN ONE GENTLEMAN SUITE + ?ALOS + BOB CORN + STEFANO PILIA live <br>Festival di presentazione del nuovo album dei <a href=\"\"http://www.last.fm/music/Ronin\"\" class=\"\"bbcode_artist\"\">Ronin</a> \"\"Fenice</a>\""
"RONIN FEST","Stefano Pilia","Locomotiv Club","RONIN FEST with <br>RONIN + THREE IN ONE GENTLEMAN SUITE + ?ALOS + BOB CORN + STEFANO PILIA live <br>Festival di presentazione del nuovo album dei <a href=\"\"http://www.last.fm/music/Ronin\"\" class=\"\"bbcode_artist\"\">Ronin</a> \"\"Fenice</a>\""
"RONIN FEST","Three in one gentleman suit","Locomotiv Club","RONIN FEST with <br>RONIN + THREE IN ONE GENTLEMAN SUITE + ?ALOS + BOB CORN + STEFANO PILIA live <br>Festival di presentazione del nuovo album dei <a href=\"\"http://www.last.fm/music/Ronin\"\" class=\"\"bbcode_artist\"\">Ronin</a> \"\"Fenice</a>\""
"RONIN FEST","Alos","Locomotiv Club","RONIN FEST with <br>RONIN + THREE IN ONE GENTLEMAN SUITE + ?ALOS + BOB CORN + STEFANO PILIA live <br>Festival di presentazione del nuovo album dei <a href=\"\"http://www.last.fm/music/Ronin\"\" class=\"\"bbcode_artist\"\">Ronin</a> \"\"Fenice</a>\""
"Juan Diego Flórez","Orchestre de chambre du Wurtenberg de Heilbronn","Théâtre des Champs-Élysées","Juan Diego Flórez, ténor <br>Orchestre de chambre du Wurtenberg de Heilbronn  <br>Alessandro Vitiello, direction <br>Airs d’opéra de Mozart, Rossini, Verdi et Adolphe Charles Adam <br>Tarifs : 5-10-35-70-100-140 euros "
"Juan Diego Flórez","Alessandro Vitiello","Théâtre des Champs-Élysées","Juan Diego Flórez, ténor <br>Orchestre de chambre du Wurtenberg de Heilbronn  <br>Alessandro Vitiello, direction <br>Airs d’opéra de Mozart, Rossini, Verdi et Adolphe Charles Adam <br>Tarifs : 5-10-35-70-100-140 euros "
"Anathema","Astra","Joy Eslava","Presentación del nuevo disco de Anathema Weather Systems. <br>ANATHEMA <br>+ Astra <br>Sala Joy Eslava (Madrid) <br>Precio: 25€ (Taquilla 30€) <br>Venta de Entradas: Sun Records, Fnac, Carrefour, puntos de la red Ticketmaster.es y en el teléfono 902 150 025 "
"L.O.S.T.","Neuromist","Albion","L.O.S.T. (Bucuresti, Romania) <br>Melodic Death Metal <br><a href=\"\"http://www.we-are-lost.com\"\" rel=\"\"nofollow\"\">www.we-are-lost.com</a> <br>NEUROMIST (Chisinau) <br>Progressive Death Metal <br><a href=\"\"http://www.myspace.com/neuromist\"\" rel=\"\"nofollow\"\">www.myspace.com/neuromist</a> <br>ABNORMYNDEFFECT (Chisinau) <br>Polyrhythmic GRIND <br><a href=\"\"http://www.myspace.com/abnormyndeffect\"\" rel=\"\"nofollow\"\">www.myspace.com/abnormyndeffect</a> <br>Intrare 70 lei <br>Acest concert se dedica memoriei lui Alexandr [BELOMOR] Graur, decedat la data de 17 Septembrie, 2011 intr-un accident rutier <br><a href=\"\"http://www.facebook.com/brutalattackfest\"\" rel=\"\"nofollow\"\">www.facebook.com/brutalattackfest</a> <br><a href=\"\"http://www.metal.md\"\" rel=\"\"nofollow\"\">www.metal.md</a> "
"L.O.S.T.","Abnormyndeffect","Albion","L.O.S.T. (Bucuresti, Romania) <br>Melodic Death Metal <br><a href=\"\"http://www.we-are-lost.com\"\" rel=\"\"nofollow\"\">www.we-are-lost.com</a> <br>NEUROMIST (Chisinau) <br>Progressive Death Metal <br><a href=\"\"http://www.myspace.com/neuromist\"\" rel=\"\"nofollow\"\">www.myspace.com/neuromist</a> <br>ABNORMYNDEFFECT (Chisinau) <br>Polyrhythmic GRIND <br><a href=\"\"http://www.myspace.com/abnormyndeffect\"\" rel=\"\"nofollow\"\">www.myspace.com/abnormyndeffect</a> <br>Intrare 70 lei <br>Acest concert se dedica memoriei lui Alexandr [BELOMOR] Graur, decedat la data de 17 Septembrie, 2011 intr-un accident rutier <br><a href=\"\"http://www.facebook.com/brutalattackfest\"\" rel=\"\"nofollow\"\">www.facebook.com/brutalattackfest</a> <br><a href=\"\"http://www.metal.md\"\" rel=\"\"nofollow\"\">www.metal.md</a> "
"The Tidal City","Machinefabriek","Huis ad Werf","Na The Invisible City, het concert van Paume afgelopen december, borduurt Paume nu verder op het thema de stad. In The Tidal City staat de groei en krimp van de stad centraal. Op het programma staan: Electro-Harmonics, een live improvisatiesessie waarin muzikanten elektronische en akoestische muziek laten samengaan, twee lezingen waarin de (on)mogelijkheden van de eb en vloed beweging in de urbane omgeving worden besproken en de gelauwerde (geluids)kunstenaar en grafisch vormgever Stefan Hanser. Hij presenteert een reeks werken waarin de focus ligt op de snelle stedelijke en industriële ontwikkelingen in het moderne China. Hanser trekt, zoals van hem verwacht mag worden, een ambiente en dronenende sonische architectuur op die het hedendaagse urbane China onmiddellijk binnenbrengt in Huis aan de Werf. <br>Anemone Tube – field recordings / drone / ambient <br>'Electro-Harmonics’ II – een live electro-akoestische improvisatie sessie (Met Machinefabriek - electronica, Martijn Pieck - electronica, Tobias Klein - basklarinet en Oscar Strik - percussie) <br>Hans Karssenberg (STIPO) – lezing / discussie <br>Theo Ploeg (freelance (muziek)journalist en urbaan socioloog) – lezing / discussie <br>Kaartverkoop via <a href=\"\"http://www.muziekweek.nl\"\" rel=\"\"nofollow\"\">www.muziekweek.nl</a> of via deze link: <a href=\"\"http://utrechtsuitburo.activetickets.com/ProgrammaDetail.aspx?id=212430&mid=38\"\" rel=\"\"nofollow\"\"> http://utrechtsuitburo.activetickets.com/ProgrammaDetail.aspx?id=212430&mid=38</a> <br>prijs: € 12,- / €9,- (student, cjp, u-pas) "
"The Tidal City","Hans Karssenberg","Huis ad Werf","Na The Invisible City, het concert van Paume afgelopen december, borduurt Paume nu verder op het thema de stad. In The Tidal City staat de groei en krimp van de stad centraal. Op het programma staan: Electro-Harmonics, een live improvisatiesessie waarin muzikanten elektronische en akoestische muziek laten samengaan, twee lezingen waarin de (on)mogelijkheden van de eb en vloed beweging in de urbane omgeving worden besproken en de gelauwerde (geluids)kunstenaar en grafisch vormgever Stefan Hanser. Hij presenteert een reeks werken waarin de focus ligt op de snelle stedelijke en industriële ontwikkelingen in het moderne China. Hanser trekt, zoals van hem verwacht mag worden, een ambiente en dronenende sonische architectuur op die het hedendaagse urbane China onmiddellijk binnenbrengt in Huis aan de Werf. <br>Anemone Tube – field recordings / drone / ambient <br>'Electro-Harmonics’ II – een live electro-akoestische improvisatie sessie (Met Machinefabriek - electronica, Martijn Pieck - electronica, Tobias Klein - basklarinet en Oscar Strik - percussie) <br>Hans Karssenberg (STIPO) – lezing / discussie <br>Theo Ploeg (freelance (muziek)journalist en urbaan socioloog) – lezing / discussie <br>Kaartverkoop via <a href=\"\"http://www.muziekweek.nl\"\" rel=\"\"nofollow\"\">www.muziekweek.nl</a> of via deze link: <a href=\"\"http://utrechtsuitburo.activetickets.com/ProgrammaDetail.aspx?id=212430&mid=38\"\" rel=\"\"nofollow\"\"> http://utrechtsuitburo.activetickets.com/ProgrammaDetail.aspx?id=212430&mid=38</a> <br>prijs: € 12,- / €9,- (student, cjp, u-pas) "
"The Tidal City","Tobias Klein","Huis ad Werf","Na The Invisible City, het concert van Paume afgelopen december, borduurt Paume nu verder op het thema de stad. In The Tidal City staat de groei en krimp van de stad centraal. Op het programma staan: Electro-Harmonics, een live improvisatiesessie waarin muzikanten elektronische en akoestische muziek laten samengaan, twee lezingen waarin de (on)mogelijkheden van de eb en vloed beweging in de urbane omgeving worden besproken en de gelauwerde (geluids)kunstenaar en grafisch vormgever Stefan Hanser. Hij presenteert een reeks werken waarin de focus ligt op de snelle stedelijke en industriële ontwikkelingen in het moderne China. Hanser trekt, zoals van hem verwacht mag worden, een ambiente en dronenende sonische architectuur op die het hedendaagse urbane China onmiddellijk binnenbrengt in Huis aan de Werf. <br>Anemone Tube – field recordings / drone / ambient <br>'Electro-Harmonics’ II – een live electro-akoestische improvisatie sessie (Met Machinefabriek - electronica, Martijn Pieck - electronica, Tobias Klein - basklarinet en Oscar Strik - percussie) <br>Hans Karssenberg (STIPO) – lezing / discussie <br>Theo Ploeg (freelance (muziek)journalist en urbaan socioloog) – lezing / discussie <br>Kaartverkoop via <a href=\"\"http://www.muziekweek.nl\"\" rel=\"\"nofollow\"\">www.muziekweek.nl</a> of via deze link: <a href=\"\"http://utrechtsuitburo.activetickets.com/ProgrammaDetail.aspx?id=212430&mid=38\"\" rel=\"\"nofollow\"\"> http://utrechtsuitburo.activetickets.com/ProgrammaDetail.aspx?id=212430&mid=38</a> <br>prijs: € 12,- / €9,- (student, cjp, u-pas) "
"The Tidal City","Martijn Pieck","Huis ad Werf","Na The Invisible City, het concert van Paume afgelopen december, borduurt Paume nu verder op het thema de stad. In The Tidal City staat de groei en krimp van de stad centraal. Op het programma staan: Electro-Harmonics, een live improvisatiesessie waarin muzikanten elektronische en akoestische muziek laten samengaan, twee lezingen waarin de (on)mogelijkheden van de eb en vloed beweging in de urbane omgeving worden besproken en de gelauwerde (geluids)kunstenaar en grafisch vormgever Stefan Hanser. Hij presenteert een reeks werken waarin de focus ligt op de snelle stedelijke en industriële ontwikkelingen in het moderne China. Hanser trekt, zoals van hem verwacht mag worden, een ambiente en dronenende sonische architectuur op die het hedendaagse urbane China onmiddellijk binnenbrengt in Huis aan de Werf. <br>Anemone Tube – field recordings / drone / ambient <br>'Electro-Harmonics’ II – een live electro-akoestische improvisatie sessie (Met Machinefabriek - electronica, Martijn Pieck - electronica, Tobias Klein - basklarinet en Oscar Strik - percussie) <br>Hans Karssenberg (STIPO) – lezing / discussie <br>Theo Ploeg (freelance (muziek)journalist en urbaan socioloog) – lezing / discussie <br>Kaartverkoop via <a href=\"\"http://www.muziekweek.nl\"\" rel=\"\"nofollow\"\">www.muziekweek.nl</a> of via deze link: <a href=\"\"http://utrechtsuitburo.activetickets.com/ProgrammaDetail.aspx?id=212430&mid=38\"\" rel=\"\"nofollow\"\"> http://utrechtsuitburo.activetickets.com/ProgrammaDetail.aspx?id=212430&mid=38</a> <br>prijs: € 12,- / €9,- (student, cjp, u-pas) "
